sid,athlete_id,full_name,sex,birth_year,height,weight,athlete_score,date_valid_from,date_valid_to,status
0,2,A Lamusi,M,1989.0,170.0,60.0,4,5,8,1
1,9,Antti Sami Aalto,M,1976.0,186.0,96.0,4,7,8,1
2,12,Jyri Tapani Aalto,M,1969.0,172.0,70.0,1,6,8,1
3,13,Minna Maarit Aalto,F,1966.0,159.0,55.5,5,3,8,1
4,16,Juhamatti Tapio Aaltonen,M,1986.0,184.0,85.0,1,4,8,1
5,18,Timo Antero Aaltonen,M,1969.0,189.0,130.0,4,1,8,1
6,20,Kjetil Andr Aamodt,M,1972.0,176.0,85.0,3,2,8,1
7,21,Ragnhild Margrethe Aamodt,F,1981.0,163.0,71.0,4,4,8,1
8,23,Fritz Aanes,M,1978.0,187.0,89.0,2,1,8,1
9,30,Pepijn Aardewijn,M,1970.0,189.0,72.0,5,4,8,1
10,34,Jamale (Djamel-) Aarrass (Ahrass-),M,1982.0,187.0,76.0,1,5,8,1
11,36,Stefan Remco Aartsen,M,1975.0,194.0,78.0,3,5,8,1
12,44,Meelis Aasme,M,1973.0,182.0,73.0,2,6,8,1
13,48,Abdelhak Aatakni,M,1988.0,175.0,64.0,5,4,8,1
14,49,Moonika Aava,F,1980.0,168.0,65.0,5,0,8,1
15,53,Talaat Abada,M,1976.0,172.0,58.0,3,0,8,1
16,63,Jos Luis Abajo Gmez,M,1978.0,194.0,87.0,1,1,8,1
17,67,Mariya Vasilyevna Abakumova (-Tarabina),F,1986.0,179.0,80.0,1,6,8,1
18,68,Pablo Martn Abal,M,1977.0,178.0,76.0,5,2,8,1
19,69,Tamara Abalde Daz,F,1989.0,185.0,72.0,1,7,8,1
20,70,Jess Iory Aball Martnez,M,1974.0,167.0,65.0,4,2,8,1
21,72,Aleksey Aleksandrovich Abalmasov,M,1980.0,180.0,83.0,3,4,8,1
22,73,Luc Abalo,M,1985.0,182.0,86.0,3,5,8,1
23,74,Mara Laura Abalo,F,1982.0,182.0,73.0,2,6,8,1
24,75,Giorgos Abalof,M,1982.0,178.0,70.0,3,5,8,1
25,76,Jouan Patrice Abanda Etong,M,1978.0,185.0,82.0,3,3,8,1
26,81,Georgios Abaris,M,1982.0,190.0,77.0,2,1,8,1
27,82,Enrique Abaroa Martnez,M,1974.0,183.0,75.0,2,1,8,1
28,84,Stephen Anthony Abas,M,1978.0,165.0,55.0,5,6,8,1
29,90,Tamila Rashidovna Abasova,F,1983.0,163.0,60.0,4,2,8,1
30,91,Emanuele Abate,M,1985.0,190.0,80.0,3,3,8,1
31,92,Ignazio Abate,M,1987.0,180.0,73.0,5,2,8,1
32,93,Jol Marc Abati,M,1970.0,190.0,85.0,1,3,8,1
33,95,Georgia Abatzidou,F,1969.0,155.0,43.0,5,6,8,1
34,96,Carlos Rodolfo Abaunza Balladares,M,1986.0,168.0,60.0,4,1,8,1
35,105,Ilyas Abbadi,M,1993.0,175.0,75.0,4,1,8,1
36,106,Agostino Abbagnale,M,1966.0,188.0,96.0,1,5,8,1
37,113,Bassim Abbas Kati Al-Ogaili,M,1982.0,175.0,80.0,1,4,8,1
38,118,Mahmoud Abbas,M,1978.0,165.0,65.0,2,7,8,1
39,120,Mohammed Abbas Sabih,M,1978.0,170.0,70.0,3,5,8,1
40,121,Muhammad Abbas,M,1987.0,168.0,55.0,2,1,8,1
41,122,Nader Sufyan Abbas,M,1976.0,173.0,77.0,4,6,8,1
42,123,Sohail Abbas,M,1975.0,178.0,80.0,2,1,8,1
43,126,Forough Abbasi,F,1994.0,164.0,58.0,1,2,8,1
