event_id;sport_type;sport_name;event_name
0;Individual;Judo;Judo Men's Extra-Lightweight
1;Group;Ice Hockey;Ice Hockey Men's Ice Hockey
2;Individual;Badminton;Badminton Men's Singles
3;Group;Sailing;Sailing Women's Windsurfer
4;Individual;Athletics;Athletics Men's Shot Put
5;Individual;Alpine Skiing;Alpine Skiing Men's Downhill
6;Individual;Alpine Skiing;Alpine Skiing Men's Super G
7;Individual;Alpine Skiing;Alpine Skiing Men's Giant Slalom
8;Individual;Alpine Skiing;Alpine Skiing Men's Slalom
9;Individual;Alpine Skiing;Alpine Skiing Men's Combined
10;Group;Handball;Handball Women's Handball
11;Group;Wrestling;Wrestling Men's Light-Heavyweight, Greco-Roman
12;Group;Rowing;Rowing Men's Lightweight Double Sculls
13;Individual;Athletics;Athletics Men's 1,500 metres
14;Group;Swimming;Swimming Men's 100 metres Butterfly
15;Group;Swimming;Swimming Men's 200 metres Butterfly
16;Group;Cross Country Skiing;Cross Country Skiing Men's 15 kilometres
17;Group;Cross Country Skiing;Cross Country Skiing Men's 50 kilometres
18;Group;Cross Country Skiing;Cross Country Skiing Men's 4 x 10 kilometres Relay
19;Individual;Boxing;Boxing Men's Light-Welterweight
20;Individual;Athletics;Athletics Women's Javelin Throw
21;Group;Taekwondo;Taekwondo Men's Flyweight
22;Individual;Fencing;Fencing Men's epee, Individual
23;Group;Swimming;Swimming Men's 4 x 100 metres Medley Relay
24;Group;Basketball;Basketball Women's Basketball
25;Individual;Diving;Diving Men's Platform
26;Individual;Canoeing;Canoeing Men's Kayak Fours, 1,000 metres
27;Group;Handball;Handball Men's Handball
28;Group;Rowing;Rowing Women's Coxless Pairs
29;Group;Football;Football Men's Football
30;Group;Tennis;Tennis Men's Doubles
31;Group;Wrestling;Wrestling Men's Featherweight, Freestyle
32;Individual;Cycling;Cycling Women's Sprint
33;Individual;Cycling;Cycling Women's 500 metres Time Trial
34;Individual;Athletics;Athletics Men's 110 metres Hurdles
35;Individual;Athletics;Athletics Women's Marathon
36;Individual;Athletics;Athletics Men's 100 metres
37;Individual;Boxing;Boxing Men's Welterweight
38;Group;Rowing;Rowing Men's Quadruple Sculls
39;Individual;Cycling;Cycling Men's Road Race, Individual
40;Group;Swimming;Swimming Men's 100 metres Freestyle
41;Group;Weightlifting;Weightlifting Men's Middleweight
42;Group;Hockey;Hockey Men's Hockey
43;Individual;Alpine Skiing;Alpine Skiing Women's Slalom
44;Group;Rowing;Rowing Women's Single Sculls
45;Group;Swimming;Swimming Men's 50 metres Freestyle
46;Group;Weightlifting;Weightlifting Women's Featherweight
47;Group;Water Polo;Water Polo Women's Water Polo
48;Group;Basketball;Basketball Men's Basketball
49;Group;Sailing;Sailing Mixed Three Person Keelboat
50;Individual;Figure Skating;Figure Skating Men's Singles
51;Individual;Figure Skating;Figure Skating Mixed Team
52;Group;Sailing;Sailing Women's Three Person Keelboat
53;Group;Softball;Softball Women's Softball
54;Individual;Archery;Archery Women's Individual
55;Group;Wrestling;Wrestling Men's Heavyweight, Greco-Roman
56;Group;Volleyball;Volleyball Men's Volleyball
57;Group;Taekwondo;Taekwondo Women's Heavyweight
58;Group;Synchronized Swimming;Synchronized Swimming Women's Duet
59;Group;Synchronized Swimming;Synchronized Swimming Women's Team
60;Individual;Athletics;Athletics Men's 5,000 metres
61;Group;Taekwondo;Taekwondo Women's Featherweight
62;Group;Shooting;Shooting Men's Air Rifle, 10 metres
63;Group;Water Polo;Water Polo Men's Water Polo
64;Group;Wrestling;Wrestling Men's Super-Heavyweight, Greco-Roman
65;Group;Shooting;Shooting Men's Free Pistol, 50 metres
66;Individual;Fencing;Fencing Men's epee, Team
67;Group;Rowing;Rowing Men's Coxless Fours
68;Individual;Boxing;Boxing Men's Light-Flyweight
69;Individual;Boxing;Boxing Men's Super-Heavyweight
70;Group;Shooting;Shooting Women's Air Rifle, 10 metres
71;Group;Shooting;Shooting Men's Air Pistol, 10 metres
72;Group;Weightlifting;Weightlifting Men's Light-Heavyweight
73;Group;Wrestling;Wrestling Men's Lightweight, Greco-Roman
74;Individual;Athletics;Athletics Men's Javelin Throw
75;Individual;Gymnastics;Gymnastics Men's Individual All-Around
76;Individual;Gymnastics;Gymnastics Men's Horse Vault
77;Individual;Gymnastics;Gymnastics Men's Parallel Bars
78;Individual;Gymnastics;Gymnastics Men's Rings
79;Individual;Gymnastics;Gymnastics Men's Pommelled Horse
80;Group;Volleyball;Volleyball Women's Volleyball
81;Group;Wrestling;Wrestling Men's Welterweight, Greco-Roman
82;Individual;Athletics;Athletics Men's 3,000 metres Steeplechase
83;Individual;Athletics;Athletics Men's 10,000 metres
84;Individual;Athletics;Athletics Men's Marathon
85;Group;Wrestling;Wrestling Men's Middleweight, Freestyle
86;Individual;Boxing;Boxing Men's Lightweight
87;Group;Wrestling;Wrestling Men's Light-Heavyweight, Freestyle
88;Individual;Modern Pentathlon;Modern Pentathlon Men's Individual
89;Group;Table Tennis;Table Tennis Women's Singles
90;Group;Table Tennis;Table Tennis Women's Doubles
91;Group;Shooting;Shooting Men's Skeet
92;Group;Swimming;Swimming Women's 50 metres Freestyle
93;Individual;Athletics;Athletics Women's 100 metres
94;Group;Weightlifting;Weightlifting Women's Lightweight
95;Individual;Athletics;Athletics Women's Long Jump
96;Individual;Fencing;Fencing Women's epee, Individual
97;Group;Rowing;Rowing Men's Double Sculls
98;Group;Swimming;Swimming Men's 400 metres Individual Medley
99;Group;Wrestling;Wrestling Men's Bantamweight, Freestyle
100;Individual;Athletics;Athletics Women's 5,000 metres
101;Group;Wrestling;Wrestling Men's Middleweight, Greco-Roman
102;Group;Weightlifting;Weightlifting Women's Light-Heavyweight
