athlete_id,full_name,sex,birth_year,height,weight,score,date_valid_from,date_valid_to,status,sid
2,A Lamusi,M,1989,170.0,60.0,4,2022-06-11 00:00:00,9999-12-31,1,1
9,Antti Sami Aalto,M,1976,186.0,96.0,4,2022-06-11 00:00:00,9999-12-31,1,2
12,Jyri Tapani Aalto,M,1969,172.0,70.0,1,2022-06-11 00:00:00,9999-12-31,1,3
13,Minna Maarit Aalto,F,1966,159.0,55.5,5,2022-06-11 00:00:00,9999-12-31,1,4
16,Juhamatti Tapio Aaltonen,M,1986,184.0,85.0,1,2022-06-11 00:00:00,9999-12-31,1,5
18,Timo Antero Aaltonen,M,1969,189.0,130.0,4,2022-06-11 00:00:00,9999-12-31,1,6
20,Kjetil Andr Aamodt,M,1972,176.0,85.0,3,2022-06-11 00:00:00,9999-12-31,1,7
21,Ragnhild Margrethe Aamodt,F,1981,163.0,,4,2022-06-11 00:00:00,9999-12-31,1,8
23,Fritz Aanes,M,1978,187.0,89.0,2,2022-06-11 00:00:00,9999-12-31,1,9
30,Pepijn Aardewijn,M,1970,189.0,72.0,5,2022-06-11 00:00:00,9999-12-31,1,10
34,Jamale (Djamel-) Aarrass (Ahrass-),M,1982,187.0,76.0,1,2022-06-11 00:00:00,9999-12-31,1,11
36,Stefan Remco Aartsen,M,1975,194.0,78.0,3,2022-06-11 00:00:00,9999-12-31,1,12
44,Meelis Aasme,M,1973,182.0,73.0,2,2022-06-11 00:00:00,9999-12-31,1,13
48,Abdelhak Aatakni,M,1988,,64.0,5,2022-06-11 00:00:00,9999-12-31,1,14
49,Moonika Aava,F,1980,168.0,65.0,5,2022-06-11 00:00:00,9999-12-31,1,15
53,Talaat Abada,M,1976,172.0,58.0,3,2022-06-11 00:00:00,9999-12-31,1,16
63,Jos Luis Abajo Gmez,M,1978,194.0,87.0,1,2022-06-11 00:00:00,9999-12-31,1,17
67,Mariya Vasilyevna Abakumova (-Tarabina),F,1986,179.0,80.0,1,2022-06-11 00:00:00,9999-12-31,1,18
68,Pablo Martn Abal,M,1977,178.0,76.0,5,2022-06-11 00:00:00,9999-12-31,1,19
69,Tamara Abalde Daz,F,1989,185.0,72.0,1,2022-06-11 00:00:00,9999-12-31,1,20
70,Jess Iory Aball Martnez,M,1974,167.0,65.0,4,2022-06-11 00:00:00,9999-12-31,1,21
72,Aleksey Aleksandrovich Abalmasov,M,1980,180.0,83.0,3,2022-06-11 00:00:00,9999-12-31,1,22
73,Luc Abalo,M,1985,182.0,86.0,3,2022-06-11 00:00:00,9999-12-31,1,23
74,Mara Laura Abalo,F,1982,182.0,73.0,2,2022-06-11 00:00:00,9999-12-31,1,24
75,Giorgos Abalof,M,1982,178.0,70.0,3,2022-06-11 00:00:00,9999-12-31,1,25
76,Jouan Patrice Abanda Etong,M,1978,185.0,82.0,3,2022-06-11 00:00:00,9999-12-31,1,26
81,Georgios Abaris,M,1982,190.0,77.0,2,2022-06-11 00:00:00,9999-12-31,1,27
82,Enrique Abaroa Martnez,M,1974,183.0,75.0,2,2022-06-11 00:00:00,9999-12-31,1,28
